time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
1000000,161,2.458487196397797,2.3699698760296637,0.08851732036813331,180,40,20,uniform
1025000,160,2.457031788898124,2.3548621851307305,0.10216960376739337,180,40,20,uniform
1050000,160,2.4746552132565847,2.3680200337290316,0.10663517952755308,180,40,20,uniform
1075000,159,2.479021784302575,2.3578476065235363,0.1211741777790385,180,40,20,uniform
1100000,159,2.491672314583437,2.3691289292418443,0.1225433853415927,180,40,20,uniform
1125000,158,2.501915334735044,2.358793645535836,0.1431216891992082,180,40,20,uniform
1150000,157,2.490131731147903,2.3417232046075713,0.14840852654033165,180,40,20,uniform
1175000,157,2.52352028778415,2.357901685203153,0.16561860258099692,180,40,20,uniform
1200000,156,2.519367381712823,2.342460470996241,0.17690691071658193,180,40,20,uniform
1225000,156,2.545611865566543,2.3566159349100193,0.18899593065652365,180,40,20,uniform
1250000,155,2.5503273853928445,2.3409570263206847,0.20937035907215984,180,40,20,uniform
1275000,155,2.57046737874188,2.3525868044261014,0.21788057431577856,180,40,20,uniform
1300000,154,2.5810758505299334,2.337501451933124,0.24357439859680952,180,40,20,uniform
1325000,154,2.6054877959534233,2.3454861158471467,0.26000168010627656,180,40,20,uniform
1350000,153,2.611137561220981,2.324454515210794,0.28668304601018724,180,40,20,uniform
1375000,153,2.6406864822480935,2.331361795060176,0.3093246871879174,180,40,20,uniform
1400000,152,2.650064479794608,2.315609982473936,0.33445449732067223,180,40,20,uniform
1425000,152,2.673073917552982,2.3186189729264086,0.35445494462657345,180,40,20,uniform
1450000,151,2.694348278275839,2.30126498712363,0.39308329115220886,180,40,20,uniform
1475000,150,2.6956703792144805,2.279145539293447,0.4165248399210335,180,40,20,uniform
1500000,150,2.7324210684815404,2.280517165138414,0.45190390334312625,180,40,20,uniform
1525000,149,2.7506517787228604,2.25706113525262,0.4935906434702404,180,40,20,uniform
1550000,149,2.777325592919795,2.25254625701696,0.524779335902835,180,40,20,uniform
1575000,148,2.799122302318848,2.227541595945531,0.5715807063733167,180,40,20,uniform
1600000,148,2.83791135822391,2.2163199281385655,0.6215914300853447,180,40,20,uniform
1625000,147,2.8539397313200117,2.18858333480079,0.6653563965192215,180,40,20,uniform
1650000,147,2.890723616663859,2.1681542962680473,0.7225693203958117,180,40,20,uniform
1675000,146,2.9226243114764556,2.1343742837054873,0.7882500277709683,180,40,20,uniform
1700000,145,2.945711402489974,2.093297334237243,0.852414068252731,180,40,20,uniform
1725000,145,2.986317922570237,2.070023934076162,0.9162939884940751,180,40,20,uniform
1750000,144,3.0194604749862033,2.02316085642171,0.9962996185644934,180,40,20,uniform
1775000,144,3.0739259351603274,1.9829165286910193,1.091009406469308,180,40,20,uniform
1800000,143,3.1058148679046766,1.9275508472608727,1.178264020643804,180,40,20,uniform
1825000,143,3.157750787808967,1.865511934856432,1.292238852952535,180,40,20,uniform
1850000,142,3.203546560101621,1.796548773429117,1.4069977866725039,180,40,20,uniform
1875000,141,3.2452355004371167,1.7034137616104332,1.5418217388266835,180,40,20,uniform
1900000,141,3.3177531920544525,1.6086072754861254,1.7091459165683272,180,40,20,uniform
1925000,140,3.3745060094415447,1.4836028171064037,1.890903192335141,180,40,20,uniform
1950000,140,3.457239731109618,1.3225286542506296,2.1347110768589888,180,40,20,uniform
1975000,139,3.530484208483816,1.110302485745729,2.4201817227380866,180,40,20,uniform
2000000,139,3.633494896352386,0.7435344852742699,2.889960411078116,180,40,20,uniform
2025000,138,3.7434466134832043,0.05314106093494829,3.690305552548256,180,40,20,uniform
2050000,138,3.9470347037634994,0.05214483732488957,3.89488986643861,180,40,20,uniform
2075000,137,4.145645916199351,0.05217689962307918,4.093469016576272,180,40,20,uniform
2100000,137,4.338288065142174,0.05206855887329518,4.286219506268878,180,40,20,uniform
2125000,137,4.41360306342318,0.05198713583568334,4.361615927587496,180,40,20,uniform
2150000,137,4.436140592598147,0.05203550876697271,4.384105083831175,180,40,20,uniform
2175000,137,4.43981361135862,0.05204735410722267,4.387766257251397,180,40,20,uniform
2200000,135,4.4750011980795925,0.05202539475434951,4.422975803325243,180,40,20,uniform
2225000,135,4.536054815128566,0.05190484796899647,4.484149967159569,180,40,20,uniform
2250000,135,4.553514276651465,0.05178377652165824,4.501730500129807,180,40,20,uniform
2275000,132,4.626075078552514,0.0517465946503728,4.574328483902141,180,40,20,uniform
2300000,132,4.715294410745967,0.05192484219304577,4.6633695685529215,180,40,20,uniform
2325000,132,4.76241700272599,0.0518986400103257,4.710518362715664,180,40,20,uniform
2350000,132,4.78501519120415,0.05186576795089964,4.73314942325325,180,40,20,uniform
2375000,132,4.792048977134618,0.0519069521672756,4.7401420249673425,180,40,20,uniform
2400000,132,4.7948093401399605,0.051954331404217055,4.742855008735743,180,40,20,uniform
2425000,132,4.796277422577749,0.05195935480634365,4.744318067771405,180,40,20,uniform
2450000,132,4.79729638543344,0.05196742249010816,4.745328962943332,180,40,20,uniform
2475000,132,4.797993240013626,0.05197287219117848,4.746020367822448,180,40,20,uniform
2500000,132,4.798426596911326,0.05197479448262062,4.746451802428705,180,40,20,uniform
25000,179,4.723514762658005,4.705428468603788,0.0180862940542168,180,80,20,uniform
50000,179,4.705461454137657,4.6977379727918605,0.007723481345796479,180,80,20,uniform
75000,178,4.708732313449409,4.6965377185563,0.012194594893109034,180,80,20,uniform
100000,177,4.714458630568463,4.695994697829915,0.018463932738547406,180,80,20,uniform
125000,177,4.726665223291898,4.7180077394343,0.008657483857598791,180,80,20,uniform
150000,176,4.733092245607696,4.718288847732151,0.014803397875544633,180,80,20,uniform
175000,175,4.739124035497573,4.721379252274884,0.01774478322268891,180,80,20,uniform
200000,175,4.751283640090772,4.742128755754241,0.009154884336531666,180,80,20,uniform
225000,174,4.758599627783082,4.7447790986210325,0.013820529162049233,180,80,20,uniform
250000,173,4.765141537931199,4.7478433717438895,0.017298166187309505,180,80,20,uniform
275000,173,4.777847266507347,4.767858260438185,0.009989006069162087,180,80,20,uniform
300000,172,4.786228620232403,4.771875429791841,0.014353190440561825,180,80,20,uniform
325000,171,4.792737355819715,4.774239159024548,0.018498196795166955,180,80,20,uniform
350000,171,4.805779378044359,4.795300828220591,0.010478549823767835,180,80,20,uniform
375000,170,4.816062215728189,4.800682899406605,0.015379316321583403,180,80,20,uniform
400000,169,4.821844233233683,4.8025655902642255,0.019278642969457138,180,80,20,uniform
425000,169,4.835446944182102,4.8244353345856466,0.011011609596455862,180,80,20,uniform
450000,168,4.844260985238126,4.829615141064218,0.014645844173908351,180,80,20,uniform
475000,167,4.851864676552929,4.833791363321803,0.018073313231126598,180,80,20,uniform
500000,167,4.866281492132779,4.854596409896363,0.011685082236415845,180,80,20,uniform
525000,166,4.874590678502458,4.860750088288815,0.013840590213643367,180,80,20,uniform
550000,165,4.882654751709482,4.865740536918759,0.01691421479072286,180,80,20,uniform
575000,165,4.899369725342257,4.885834533180421,0.013535192161835852,180,80,20,uniform
600000,164,4.905886961539526,4.892881322812706,0.01300563872681959,180,80,20,uniform
625000,163,4.915252182860003,4.899857951790787,0.015394231069215891,180,80,20,uniform
650000,162,4.924066073093568,4.905716599551594,0.01834947354197425,180,80,20,uniform
675000,162,4.93969690373473,4.927708047416924,0.011988856317806551,180,80,20,uniform
700000,161,4.9513795616765615,4.933723340161104,0.017656221515457204,180,80,20,uniform
725000,160,4.959565591019108,4.940297966950964,0.019267624068143974,180,80,20,uniform
750000,159,4.968062719825727,4.947051341305849,0.02101137851987822,180,80,20,uniform
775000,159,4.986384109148717,4.9708149285092045,0.015569180639512403,180,80,20,uniform
800000,158,4.997656422501675,4.978216937935893,0.019439484565781484,180,80,20,uniform
825000,157,5.005990703204164,4.9860000043339205,0.019990698870243406,180,80,20,uniform
850000,156,5.016035738982608,4.992013746146543,0.02402199283606521,180,80,20,uniform
875000,156,5.033773872676499,5.017301404348269,0.016472468328229795,180,80,20,uniform
900000,155,5.043582386214594,5.0261430633823565,0.017439322832237814,180,80,20,uniform
925000,154,5.056830046956733,5.034211873128901,0.0226181738278326,180,80,20,uniform
950000,154,5.075158674543378,5.057478576751451,0.01768009779192692,180,80,20,uniform
975000,153,5.085289106920533,5.0683386211402555,0.016950485780277802,180,80,20,uniform
1000000,152,5.097639808016132,5.07899794551107,0.018641862505062612,180,80,20,uniform
1025000,151,5.110548056183249,5.088398617079001,0.022149439104247826,180,80,20,uniform
1050000,150,5.119777177014083,5.097584230174323,0.022192946839760808,180,80,20,uniform
1075000,150,5.138347235719992,5.122258558006136,0.01608867771385647,180,80,20,uniform
1100000,149,5.1545213979417515,5.13432629984161,0.02019509810014153,180,80,20,uniform
1125000,148,5.1678322385641025,5.145412180425858,0.02242005813824477,180,80,20,uniform
1150000,147,5.180180719853578,5.157472807299293,0.02270791255428506,180,80,20,uniform
