angle,R0,rr0,realR,realrr,realOR,psi0,nmax,beta,maxh0,vol,rdrop,hdrop,charL,charT,r0rf,t0,tic,tau,ts,t00,Oh,SectionArea,tauMax,sigmaMax
40,200,80,251.0,51.0,149.0,0.51,3.079992797637052,0.255,18.71644455048176,1.654559470351996e6,140.46780308318523,51.12609919504572,20.472061013603014,2550.0,110.53219691681477,850.0,3642.0,0.0,Inf,Inf,0.2333800140046683,1316.723198208294,398764.9119821613,2.5077432089730475e-6
40,200,100,255.5,59.5,136.0,0.6112531969309463,2.5697965011581783,0.2975,23.395555688102192,2.577645346889466e6,162.8384840539125,59.26836118865581,25.590076267003766,2975.0,92.66151594608749,992.0,4590.0,0.0,Inf,Inf,0.21606790785072147,2033.5792130338746,495564.5598958664,2.0179005540875064e-6
30,80,20,89.0,9.0,71.0,0.225,6.981317007977318,0.1125,2.6794919243112254,18209.05618568053,34.82955779750347,9.332551884574164,3.396141505368622,450.0,54.17044220249653,150.0,270.0,0.0,Inf,Inf,0.5555555555555556,36.13822577592826,183564.04647558805,5.447689889168949e-6
30,80,30,94.0,14.0,66.0,0.35,4.487989505128276,0.175,4.01923788646684,40975.48179280234,45.64152759134291,12.229610459423132,5.094212258052933,700.0,48.35847240865709,233.0,524.0,0.0,Inf,Inf,0.4454354031873739,81.43125078539957,275549.58550539875,3.629110884583085e-6
30,80,40,99.0,19.0,61.0,0.475,3.306939635357677,0.2375,5.358983848622451,72849.21850346669,55.291764257159656,14.815383580797938,6.792283010737244,950.0,43.708235742840344,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,144.8414982278739,367494.3898082638,2.7211299756759256e-6
30,80,60,109.0,29.0,51.0,0.725,2.1666156231653746,0.3625,8.03847577293368,163918.20981041936,72.4538080317582,19.413939350669192,10.188424516105867,1450.0,36.5461919682418,483.0,1562.0,0.0,Inf,Inf,0.30949223029508643,326.01364267239,551343.2937840981,1.8137519967579266e-6
30,80,80,119.0,39.0,41.0,0.975,1.6110731556870734,0.4875,10.717967697244902,291411.6245647932,87.77168570205883,23.518352302184972,13.584566021474489,1950.0,31.228314297941168,650.0,2436.0,0.0,Inf,Inf,0.2668802563418119,579.6546480103258,735171.8520114514,1.3602261801291374e-6
30,80,100,129.0,49.0,31.0,1.225,1.2822827157509358,0.6125,13.397459621556123,455331.74384117796,101.85009962575785,27.290651943751197,16.980707526843112,2450.0,27.14990037424215,817.0,3430.0,0.0,Inf,Inf,0.2380952380952381,905.7645128711906,918992.2733246629,1.0881484306524942e-6
30,120,20,129.0,9.0,111.0,0.15,10.471975511965978,0.075,2.6794919243112254,27315.55143385016,39.870848007917886,10.68336152526563,3.396141505368622,450.0,89.12915199208211,150.0,270.0,0.0,Inf,Inf,0.5555555555555556,36.13822577592826,183564.04647558805,5.447689889168949e-6
30,120,30,134.0,14.0,106.0,0.23333333333333334,6.731984257692414,0.11666666666666667,4.01923788646684,61465.731396144816,52.24721751398183,13.999599739644635,5.094212258052933,700.0,81.75278248601816,233.0,524.0,0.0,Inf,Inf,0.4454354031873739,81.43125078539957,275549.58550539875,3.629110884583085e-6
30,120,40,139.0,19.0,101.0,0.31666666666666665,4.960409453036515,0.15833333333333333,5.358983848622451,109275.25906963304,63.29354638713221,16.95945464053387,6.792283010737244,950.0,75.70645361286779,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,144.8414982278739,367494.3898082638,2.7211299756759256e-6
30,120,60,149.0,29.0,91.0,0.48333333333333334,3.249923434748062,0.24166666666666667,8.03847577293368,245874.12119040493,82.93854690150866,22.22331666367003,10.188424516105867,1450.0,66.06145309849134,483.0,1562.0,0.0,Inf,Inf,0.30949223029508643,326.01364267239,551343.2937840981,1.8137519967579266e-6
30,120,80,159.0,39.0,81.0,0.65,2.41660973353061,0.325,10.717967697244902,437115.5943394174,100.47335754617065,26.921755015339862,13.584566021474489,1950.0,58.52664245382935,650.0,2436.0,0.0,Inf,Inf,0.2668802563418119,579.6546480103258,735171.8520114514,1.3602261801291374e-6
30,120,100,169.0,49.0,71.0,0.8166666666666667,1.9234240736264039,0.4083333333333333,13.397459621556123,682996.3314478148,116.58918656858913,31.23997838725494,16.980707526843112,2450.0,52.41081343141087,817.0,3430.0,0.0,Inf,Inf,0.2380952380952381,905.7645128711906,918992.2733246629,1.0881484306524942e-6
30,150,20,159.0,9.0,141.0,0.12,13.089969389957473,0.06,2.6794919243112254,34143.09716194001,42.94900628143353,11.508151548829327,3.396141505368622,450.0,116.05099371856647,150.0,270.0,0.0,Inf,Inf,0.5555555555555556,36.13822577592826,183564.04647558805,5.447689889168949e-6
30,150,30,164.0,14.0,136.0,0.18666666666666668,8.414980322115516,0.09333333333333334,4.01923788646684,76829.09040189582,56.2808583674837,15.080410548897646,5.094212258052933,700.0,107.7191416325163,233.0,524.0,0.0,Inf,Inf,0.4454354031873739,81.43125078539957,275549.58550539875,3.629110884583085e-6
30,150,40,169.0,19.0,131.0,0.25333333333333335,6.200511816295644,0.12666666666666668,5.358983848622451,136593.04166626435,68.1807342594083,18.268972684169427,6.792283010737244,950.0,100.8192657405917,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,144.8414982278739,367494.3898082638,2.7211299756759256e-6
