time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
1575000,180,1.0172988963268323,0.0614678317705313,0.9558310645563011,180,40,10,pattern
1600000,180,1.0215392893705806,0.06143493768302544,0.9601043516875551,180,40,10,pattern
1625000,180,1.0241712791003799,0.06140719022273678,0.9627640888776431,180,40,10,pattern
1650000,180,1.0258120901480416,0.06139047217527514,0.9644216179727665,180,40,10,pattern
1675000,180,1.0268510643741462,0.061380716478403936,0.9654703478957423,180,40,10,pattern
1700000,180,1.0275277849882607,0.061375271958021095,0.9661525130302396,180,40,10,pattern
1725000,180,1.0279875452966587,0.061372464414731806,0.9666150808819269,180,40,10,pattern
1750000,180,1.0283177092095657,0.061371257340762694,0.966946451868803,180,40,10,pattern
1775000,180,1.0285705503671314,0.06137101661935502,0.9671995337477763,180,40,10,pattern
1800000,180,1.0287772601547156,0.06137135684256454,0.967405903312151,180,40,10,pattern
1825000,180,1.0289564233246464,0.061372044429243114,0.9675843788954033,180,40,10,pattern
1850000,180,1.0291191063253913,0.06137293784056248,0.9677461684848288,180,40,10,pattern
1875000,180,1.0292718984176397,0.061373951156278916,0.9678979472613607,180,40,10,pattern
1900000,180,1.0294187246299389,0.06137503204503857,0.9680436925849003,180,40,10,pattern
1925000,180,1.0295619250366848,0.061376148489187383,0.9681857765474974,180,40,10,pattern
1950000,180,1.029702896801513,0.06137728079466686,0.9683256160068461,180,40,10,pattern
1975000,180,1.0298424759981035,0.06137841677818265,0.9684640592199208,180,40,10,pattern
2000000,180,1.0299811646621806,0.061379548861976024,0.9686016158002045,180,40,10,pattern
2025000,180,1.0301192658227667,0.06138067231371475,0.9687385935090519,180,40,10,pattern
2050000,180,1.030256963826724,0.061381784175061904,0.9688751796516621,180,40,10,pattern
2075000,180,1.0303943721352953,0.061382882605370205,0.9690114895299251,180,40,10,pattern
2100000,180,1.0305315617785678,0.061383966476745634,0.9691475953018222,180,40,10,pattern
2125000,180,1.0306685783056175,0.06138503512178556,0.969283543183832,180,40,10,pattern
2150000,180,1.0308054518898433,0.06138608817487353,0.9694193637149697,180,40,10,pattern
2175000,180,1.0309422033609426,0.0613871254711458,0.9695550778897968,180,40,10,pattern
2200000,180,1.0310788478113702,0.061388146981169685,0.9696907008302005,180,40,10,pattern
2225000,180,1.0312153967573208,0.06138915276817442,0.9698262439891463,180,40,10,pattern
2250000,180,1.0313518594386741,0.06139014295951258,0.9699617164791615,180,40,10,pattern
2275000,180,1.031488243605607,0.06139111772740158,0.9700971258782054,180,40,10,pattern
2300000,180,1.0316245559968575,0.06139207727548162,0.970232478721376,180,40,10,pattern
2325000,180,1.0317608026353617,0.06139302182944863,0.9703677808059131,180,40,10,pattern
2350000,180,1.0318969890129612,0.06139395163037013,0.9705030373825911,180,40,10,pattern
2375000,180,1.032033120208721,0.06139486692972374,0.9706382532789972,180,40,10,pattern
2400000,180,1.032169200967335,0.061395767985754114,0.970773432981581,180,40,10,pattern
2425000,180,1.0323052357525453,0.061396655060771826,0.9709085806917734,180,40,10,pattern
2450000,180,1.03244122878613,0.06139752841903454,0.9710437003670954,180,40,10,pattern
2475000,180,1.0325771840759388,0.061398388325160175,0.9711787957507786,180,40,10,pattern
2500000,180,1.0327131054393193,0.06139923504286469,0.9713138703964546,180,40,10,pattern
25000,180,0.8040136701366505,0.7914291538140091,0.012584516322641348,180,60,10,pattern
50000,180,0.7953157940719592,0.7844233235820333,0.01089247048992592,180,60,10,pattern
75000,180,0.7947128303545744,0.7848530998566926,0.009859730497881802,180,60,10,pattern
100000,180,0.7949377923836333,0.7859493213985861,0.008988470985047181,180,60,10,pattern
125000,179,0.7892348595721458,0.7692789982387288,0.01995586133341698,180,60,10,pattern
150000,179,0.7905098432247966,0.771589835081637,0.018920008143159528,180,60,10,pattern
175000,179,0.7916966580769046,0.7738018479384675,0.01789481013843708,180,60,10,pattern
200000,179,0.7927915738405479,0.7759093724196585,0.016882201420889364,180,60,10,pattern
225000,179,0.793825746789591,0.777910974004918,0.015914772784672904,180,60,10,pattern
250000,179,0.794809009362512,0.7798070087539525,0.015002000608559496,180,60,10,pattern
275000,179,0.7957063945736687,0.781598710135824,0.014107684437844603,180,60,10,pattern
300000,179,0.796520668112789,0.7832877965616485,0.013232871551140502,180,60,10,pattern
325000,179,0.7972553021207355,0.7848762933020459,0.012379008818689585,180,60,10,pattern
350000,179,0.7979143169412494,0.7863664455169386,0.011547871424310796,180,60,10,pattern
375000,179,0.7985021736116069,0.787760667783192,0.010741505828414932,180,60,10,pattern
400000,178,0.7925047861974082,0.7716201388848161,0.020884647312592097,180,60,10,pattern
425000,178,0.7939147595845845,0.7737286449775522,0.020186114607032235,180,60,10,pattern
450000,178,0.7952507679246344,0.775691933452654,0.01955883447198048,180,60,10,pattern
475000,178,0.7965162848700561,0.7775340606844707,0.018982224185585372,180,60,10,pattern
500000,178,0.7977146708762674,0.779255280366272,0.018459390509995344,180,60,10,pattern
525000,178,0.798849147837874,0.7808561501457508,0.017992997692123147,180,60,10,pattern
550000,178,0.7999227880547214,0.7823375932199081,0.017585194834813245,180,60,10,pattern
575000,178,0.8009385183697225,0.7837009536641582,0.017237564705564368,180,60,10,pattern
600000,178,0.8018991382005782,0.7849480401634158,0.016951098037162438,180,60,10,pattern
625000,178,0.802807348601187,0.7860811537197291,0.01672619488145788,180,60,10,pattern
650000,178,0.8036657883408319,0.7871030961536019,0.016562692187230055,180,60,10,pattern
675000,178,0.8044770722594602,0.7880171577092778,0.016459914550182364,180,60,10,pattern
700000,178,0.8052438269899301,0.7888270837143159,0.016416743275614265,180,60,10,pattern
725000,177,0.7961488268475416,0.7685170822678629,0.027631744579678763,180,60,10,pattern
750000,177,0.7972678649508503,0.7695958658688933,0.027671999081957055,180,60,10,pattern
775000,177,0.7983155131391497,0.7705573900263126,0.027758123112837096,180,60,10,pattern
800000,177,0.799297232596604,0.7714082823563919,0.027888950240212096,180,60,10,pattern
825000,177,0.8002186388018173,0.7721553839111126,0.028063254890704714,180,60,10,pattern
850000,177,0.8010854099826318,0.7728056159254322,0.028279794057199603,180,60,10,pattern
875000,177,0.8019032026414122,0.7733658566658145,0.02853734597559776,180,60,10,pattern
900000,177,0.802677577798046,0.773842832962519,0.02883474483552706,180,60,10,pattern
925000,177,0.8034139400150417,0.7742430292018567,0.029170910813185014,180,60,10,pattern
950000,177,0.8041174899072228,0.7745338081161348,0.029583681791087946,180,60,10,pattern
975000,177,0.8047931897861945,0.7746905848302987,0.030102604955895784,180,60,10,pattern
1000000,177,0.8054457413628394,0.7747791084011255,0.030666632961713902,180,60,10,pattern
1025000,177,0.8060795739968859,0.7748044716672922,0.03127510232959374,180,60,10,pattern
1050000,177,0.8066988417874588,0.7747713086628468,0.03192753312461194,180,60,10,pattern
1075000,177,0.8073074277787907,0.7746837922577453,0.03262363552104541,180,60,10,pattern
1100000,177,0.807908953655562,0.7745456409160053,0.03336331273955673,180,60,10,pattern
1125000,177,0.8085067934727485,0.7743601323544128,0.03414666111833564,180,60,10,pattern
1150000,177,0.8091040901700696,0.7741301221355771,0.034973968034492486,180,60,10,pattern
1175000,177,0.8097037738340508,0.7738580655145102,0.03584570831954059,180,60,10,pattern
1200000,177,0.8103085808741868,0.7735460411510632,0.0367625397231236,180,60,10,pattern
1225000,177,0.8109210734654296,0.773195775576882,0.037725297888547615,180,60,10,pattern
1250000,177,0.8115436587680331,0.7728086675555245,0.038734991212508674,180,60,10,pattern
1275000,177,0.8121786075731572,0.772385811690783,0.039792795882374166,180,60,10,pattern
1300000,177,0.8128280721308109,0.7719280208193099,0.040900051311500984,180,60,10,pattern
1325000,177,0.8134941030071241,0.7714358468719866,0.04205825613513747,180,60,10,pattern
1350000,177,0.8141786648855194,0.770909600004751,0.043269064880768426,180,60,10,pattern
1375000,177,0.8148836512790435,0.7703493658914995,0.044534285387544004,180,60,10,pattern
1400000,177,0.8156108981591188,0.769755021138022,0.045855877021096836,180,60,10,pattern
1425000,177,0.8163621965347155,0.769126246825728,0.04723594970898748,180,60,10,pattern
1450000,177,0.817139304034304,0.7684625402277411,0.04867676380656294,180,60,10,pattern
1475000,177,0.8179439555541748,0.7677632247618625,0.05018073079231222,180,60,10,pattern
1500000,177,0.8187778730460862,0.7670274582572522,0.05175041478883402,180,60,10,pattern
1525000,177,0.8196427745181618,0.7662542396164731,0.05338853490168871,180,60,10,pattern
1550000,177,0.820540382324893,0.765442413956372,0.05509796836852099,180,60,10,pattern
1575000,177,0.8214724308206521,0.7645906763044773,0.05688175451617483,180,60,10,pattern
1600000,177,0.8224406734477281,0.7636975739230283,0.058743099524699804,180,60,10,pattern
1625000,177,0.8234468893276773,0.7627615073220883,0.06068538200558904,180,60,10,pattern
1650000,177,0.8244928894196197,0.7617807300132978,0.06271215940632191,180,60,10,pattern
1675000,177,0.8255805223070538,0.7607533470434713,0.0648271752635825,180,60,10,pattern
1700000,177,0.8267116796689898,0.7596773123352687,0.06703436733372115,180,60,10,pattern
1725000,177,0.8278883014891723,0.7585504248480334,0.06933787664113888,180,60,10,pattern
1750000,177,0.8291123810535933,0.7573703235583892,0.07174205749520413,180,60,10,pattern
1775000,177,0.8303859697831389,0.756134481244809,0.07425148853832997,180,60,10,pattern
1800000,177,0.8317111819473348,0.7548401970453693,0.07687098490196553,180,60,10,pattern
1825000,177,0.8330901993021009,0.7534845877408399,0.079605611561261,180,60,10,pattern
1850000,177,0.8345252756944797,0.7520645776970424,0.08246069799743727,180,60,10,pattern
1875000,177,0.8360187416766202,0.7505768873817321,0.08544185429488804,180,60,10,pattern
1900000,177,0.8375730091710736,0.7490180203488954,0.08855498882217816,180,60,10,pattern
1925000,177,0.839190576231877,0.7473842485601931,0.09180632767168384,180,60,10,pattern
1950000,177,0.8408740319461596,0.7456715958858737,0.09520243606028589,180,60,10,pattern
1975000,177,0.8426260615252142,0.7438758195974011,0.09875024192781312,180,60,10,pattern
2000000,177,0.8444494516368404,0.7419923896286708,0.10245706200816962,180,60,10,pattern
2025000,177,0.8463470960363105,0.7400164653432177,0.10633063069309279,180,60,10,pattern
2050000,177,0.8483220015586774,0.7379428694966048,0.11037913206207262,180,60,10,pattern
2075000,178,0.8582137037049049,0.7500595219090758,0.10815418179582914,180,60,10,pattern
2100000,178,0.8604586259797143,0.7476783069220438,0.1127803190576705,180,60,10,pattern
2125000,178,0.8627953361206618,0.7451778161380398,0.11761751998262204,180,60,10,pattern
2150000,178,0.8652275700813629,0.7425510657342737,0.12267650434708921,180,60,10,pattern
2175000,178,0.8677592263100995,0.7397905500304981,0.1279686762796014,180,60,10,pattern
2200000,178,0.8704252561094068,0.7368881891997803,0.13353706690962652,180,60,10,pattern
2225000,178,0.873240421443993,0.733835269985475,0.13940515145851806,180,60,10,pattern
2250000,178,0.8761722166085888,0.7306223782847271,0.1455498383238617,180,60,10,pattern
2275000,178,0.8792254941365404,0.7272393222379226,0.15198617189861774,180,60,10,pattern
2300000,178,0.88240534125675,0.7236750441930679,0.15873029706368202,180,60,10,pattern
2325000,178,0.8857170985746118,0.7199175195798989,0.16579957899471287,180,60,10,pattern
2350000,178,0.8891663812869557,0.7159536403093942,0.17321274097756145,180,60,10,pattern
2375000,178,0.8927591033689581,0.7117690797796862,0.18099002358927196,180,60,10,pattern
2400000,178,0.8965015052555394,0.7073481358742233,0.1891533693813161,180,60,10,pattern
2425000,178,0.900400185642027,0.7026735474125491,0.1977266382294779,180,60,10,pattern
2450000,178,0.9044621381533822,0.6977262782618123,0.20673585989156984,180,60,10,pattern
2475000,178,0.9086947937850391,0.6922884877413742,0.21640630604366495,180,60,10,pattern
2500000,178,0.9131060702066989,0.6865240375466881,0.22658203266001076,180,60,10,pattern
25000,180,1.1257428530540419,1.1145090547229088,0.011233798331133027,180,80,10,pattern
50000,180,1.1051672147976128,1.0960153070249898,0.00915190777262298,180,80,10,pattern
75000,180,1.1008701826873133,1.0929898830718634,0.007880299615449893,180,80,10,pattern
100000,179,1.0952664858144379,1.078965818581442,0.016300667232995947,180,80,10,pattern
125000,179,1.0962921177863538,1.08098206296315,0.015310054823203911,180,80,10,pattern
150000,179,1.0974173752731056,1.083094112001243,0.014323263271862618,180,80,10,pattern
175000,179,1.0984910298125448,1.0851567733220635,0.013334256490481255,180,80,10,pattern
200000,179,1.0994747521420298,1.0871310877609985,0.012343664381031294,180,80,10,pattern
225000,179,1.100358373785729,1.0890057653513943,0.011352608434334721,180,80,10,pattern
